Iteration,T_0_0,T_0_1,T_0_2,T_0_3,T_1_0,T_1_1,T_1_2,T_1_3,T_2_0,T_2_1,T_2_2,T_2_3,T_3_0,T_3_1,T_3_2,T_3_3
23,0.0,0.0,0.0,0.0,0.0,0.0,12.673105243788815,3.7853892594619403,0.0,-12.673105243788815,0.0,-0.5118117040461363,0.0,-3.7853892594619403,0.5118117040461363,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,12.68869062573858,3.7970865967509573,0.0,-12.68869062573858,0.0,-0.5156997487068857,0.0,-3.7970865967509573,0.5156997487068857,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,12.702246782207204,3.8072626503522278,0.0,-12.702246782207204,0.0,-0.5190798515742407,0.0,-3.8072626503522278,0.5190798515742407,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,12.714024655774224,3.816105277186849,0.0,-12.714024655774224,0.0,-0.5220150983066422,0.0,-3.816105277186849,0.5220150983066422,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,12.72425659201957,3.823788587166849,0.0,-12.72425659201957,0.0,-0.524563724571989,0.0,-3.823788587166849,0.524563724571989,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,12.733160388986596,3.830475668242182,0.0,-12.733160388986596,0.0,-0.5267804404636791,0.0,-3.830475668242182,0.5267804404636791,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,12.74089472086619,3.8362853415560316,0.0,-12.74089472086619,0.0,-0.5287050990294223,0.0,-3.8362853415560316,0.5287050990294223,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,12.747612286691005,3.8413322292745224,0.0,-12.747612286691005,0.0,-0.5303757771357486,0.0,-3.8413322292745224,0.5303757771357486,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,12.753445953476117,3.8457156902318643,0.0,-12.753445953476117,0.0,-0.5318259829635178,0.0,-3.8457156902318643,0.5318259829635178,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,12.758526467243307,3.8495339326699582,0.0,-12.758526467243307,0.0,-0.5330882542926141,0.0,-3.8495339326699582,0.5330882542926141,0.0
