Iteration,T_0_0_0,T_0_0_1,T_0_0_2,T_0_1_0,T_0_1_1,T_0_1_2,T_0_2_0,T_0_2_1,T_0_2_2
14,0.0,8.776832370475198,5.840898893266166,-8.783025982457339,0.0,-2.9111590291957428,-5.8656733412575734,2.942127089213058,0.0
15,0.0,8.937431334414892,5.949320213082788,-8.94281174003787,0.0,-2.9665894986647583,-5.970841835717292,2.9934915269879294,0.0
16,0.0,9.076944041212665,6.043506074764378,-9.081618012536035,0.0,-3.014742080997829,-6.062201960183998,3.038111937802499,0.0
17,0.0,9.198139065651496,6.1253255596775125,-9.202199355799094,0.0,-3.0565723452507614,-6.141566720373562,3.0768737961487584,0.0
18,0.0,9.30342147492759,6.19640234292824,-9.306948659136308,0.0,-3.09291039655942,-6.210511078721078,3.110546315855164,0.0
19,0.0,9.394880557776444,6.258146916061619,-9.397944630909972,0.0,-3.124477349286194,-6.270403208542871,3.1397977147957334,0.0
20,0.0,9.474331283214218,6.311784575339582,-9.476993050892224,0.0,-3.1518996371123933,-6.322431646105215,3.165208475549252,0.0
21,0.0,9.543350319756579,6.3583797391358985,-9.545662603745093,0.0,-3.1757214446025412,-6.3676288751499275,3.187282864613306,0.0
22,0.0,9.603307323041532,6.398857070156512,-9.605316009345948,0.0,-3.19641550578252,-6.406891816888886,3.206458939559566,0.0
23,0.0,9.655392115875339,6.434019825141174,-9.657137066796805,0.0,-3.2143924868943254,-6.440999628919323,3.2231172417173237,0.0
24,0.0,9.700638300993296,6.464565795052692,-9.702154144096307,0.0,-3.2300091335585095,-6.470629167424506,3.2375883490538984,0.0
25,0.0,9.73994377100357,6.491101152696988,-9.74126058756342,0.0,-3.243575352116473,-6.496368418885385,3.2501594348681477,0.0
26,0.0,9.774088527477957,6.514152481799543,-9.775232449196107,0.0,-3.255360358852333,-6.5187281686253415,3.26107996739685,0.0
27,0.0,9.803750159671416,6.534177226914548,-9.804743887223447,0.0,-3.2655980225897525,-6.538152137081619,3.2705666603089507,0.0
28,0.0,9.82951729100333,6.551572771229224,-9.830380544521377,0.0,-3.274491505737656,-6.5550257852656735,3.278807773292163,0.0
29,0.0,9.851901260056174,6.566684322475709,-9.852651170466602,0.0,-3.282217295969792,-6.569683964086383,3.2859668479909003,0.0
30,0.0,9.871346267888208,6.579811763442432,-9.871997716868046,0.0,-3.2889287085534105,-6.5824175593348055,3.2921859534256197,0.0
31,0.0,9.888238193028718,6.591215603030042,-9.888804108326633,0.0,-3.294758928830449,-6.593479264198274,3.2975885052966007,0.0
32,0.0,9.902912249085531,6.601122145948003,-9.903403861067943,0.0,-3.299823655228252,-6.603088593857288,3.3022817151199435,0.0
33,0.0,9.915659636927204,6.60972798364254,-9.916086701440461,0.0,-3.3042233952493323,-6.611436241677876,3.306358717797927,0.0
34,0.0,9.926733323449655,6.617203895576497,-9.927104315420978,0.0,-3.308045460003214,-6.6186878634464446,3.309900419844489,0.0
35,0.0,9.936353061604677,6.62369823828061,-9.936675343223772,0.0,-3.311365696861045,-6.624987364743641,3.3129771049431667,0.0
36,0.0,9.944709751310826,6.629339889430474,-9.944989718129607,0.0,-3.314249994616834,-6.630459756694001,3.3156498286991396,0.0
37,0.0,9.951969227787158,6.634240805373296,-9.952212435636982,0.0,-3.3167555910246396,-6.635213636762524,3.3179716302636924,0.0
38,0.0,9.958275552487907,6.638498242857568,-9.95848682773286,0.0,-3.318932208659282,-6.639343343828631,3.3199885848752975,0.0
39,0.0,9.96375387194537,6.642196689054962,-9.963937407259555,0.0,-3.320823041641272,-6.6429308303041035,3.321740718204599,0.0
40,0.0,9.968512901253591,6.645409538175016,-9.9686723388231,0.0,-3.3224656128071417,-6.6460472884464545,3.3232628006480924,0.0
41,0.0,9.972647081476627,6.648200547944333,-9.972785585277293,0.0,-3.3238925183353625,-6.64875456314127,3.3245850373329664,0.0
42,0.0,9.976238453794297,6.65062510485359,-9.976358772379548,0.0,-3.325132074604686,-6.651106379189614,3.3257336675259626,0.0
43,0.0,9.979358287577126,6.652731323280647,-9.979462808621944,0.0,-3.3262088801215426,-6.653149407455587,3.3267314853413024,0.0
44,0.0,9.982068494698954,6.654561000301436,-9.982159292382345,0.0,-3.3271443036677186,-6.654924191031242,3.3275982920809115,0.0
45,0.0,9.984422858153708,6.6561504451365066,-9.984501734319974,0.0,-3.3279569083554166,-6.656465949798297,3.3283512891834715,0.0
